VEHICLE_TYPE_CODE_2,BOROUGH,VEHICLE TYPE_CODE_1,CONTRIBUTING_FACTOR_VEHICLE_1
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Other Vehicular
SPORT UTILITY / STATION WAGON,QUEENS,PASSENGER VEHICLE,Backing Unsafely
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Physical Disability
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Turning Improperly
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
OTHER,MANHATTAN,PASSENGER VEHICLE,Unspecified
BICYCLE,BROOKLYN,PASSENGER VEHICLE,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,QUEENS,UNKNOWN,Unspecified
TAXI,BROOKLYN,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
UNKNOWN,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Unspecified
SPORT UTILITY / STATION WAGON,STATEN ISLAND,PASSENGER VEHICLE,Driver Inattention/Distraction
VAN,BROOKLYN,PASSENGER VEHICLE,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
TAXI,MANHATTAN,PASSENGER VEHICLE,Prescription Medication
UNKNOWN,BROOKLYN,BICYCLE,Unspecified
PASSENGER VEHICLE,MANHATTAN,TAXI,Unspecified
UNKNOWN,MANHATTAN,PASSENGER VEHICLE,Unspecified
TAXI,MANHATTAN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
VAN,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
OTHER,BROOKLYN,PASSENGER VEHICLE,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
BUS,MANHATTAN,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,MANHATTAN,TAXI,Turning Improperly
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,View Obstructed/Limited
TAXI,MANHATTAN,TAXI,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Alcohol Involvement
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Lost Consciousness
UNKNOWN,BRONX,UNKNOWN,Unspecified
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Prescription Medication
PASSENGER VEHICLE,QUEENS,MOTORCYCLE,Unspecified
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Backing Unsafely
BICYCLE,MANHATTAN,TAXI,Driver Inexperience
PASSENGER VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Alcohol Involvement
SPORT UTILITY / STATION WAGON,MANHATTAN,TAXI,Other Vehicular
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Failure to Yield Right-of-Way
SPORT UTILITY / STATION WAGON,BROOKLYN,PASSENGER VEHICLE,Lost Consciousness
SPORT UTILITY / STATION WAGON,QUEENS,PASSENGER VEHICLE,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,BROOKLYN,OTHER,Unspecified
UNKNOWN,QUEENS,PASSENGER VEHICLE,Failure to Yield Right-of-Way
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Lost Consciousness
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Traffic Control Disregarded
SPORT UTILITY / STATION WAGON,MANHATTAN,PASSENGER VEHICLE,Fatigued/Drowsy
TAXI,MANHATTAN,PASSENGER VEHICLE,Unspecified
TAXI,MANHATTAN,BUS,Unspecified
PASSENGER VEHICLE,MANHATTAN,LIVERY VEHICLE,Driver Inattention/Distraction
PICK-UP TRUCK,QUEENS,PASSENGER VEHICLE,Unspecified
UNKNOWN,STATEN ISLAND,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,BROOKLYN,TAXI,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Alcohol Involvement
PASSENGER VEHICLE,MANHATTAN,OTHER,Unspecified
PASSENGER VEHICLE,BROOKLYN,TAXI,Unspecified
PASSENGER VEHICLE,BROOKLYN,PICK-UP TRUCK,Driver Inattention/Distraction
BICYCLE,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
OTHER,BRONX,OTHER,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Prescription Medication
UNKNOWN,QUEENS,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Lost Consciousness
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Driver Inexperience
LIVERY VEHICLE,MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,LIVERY VEHICLE,Unspecified
BUS,QUEENS,PASSENGER VEHICLE,Unspecified
VAN,BROOKLYN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
PASSENGER VEHICLE,BROOKLYN,SMALL COM VEH(4 TIRES),Unspecified
PICK-UP TRUCK,MANHATTAN,SPORT UTILITY / STATION WAGON,Lost Consciousness
SPORT UTILITY / STATION WAGON,MANHATTAN,BUS,Unspecified
VAN,BROOKLYN,VAN,Unspecified
PASSENGER VEHICLE,MANHATTAN,VAN,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,OTHER,Driver Inattention/Distraction
LARGE COM VEH(6 OR MORE TIRES),QUEENS,PASSENGER VEHICLE,Unspecified
SPORT UTILITY / STATION WAGON,BRONX,PASSENGER VEHICLE,Backing Unsafely
SPORT UTILITY / STATION WAGON,QUEENS,VAN,Unspecified
UNKNOWN,BROOKLYN,PASSENGER VEHICLE,Traffic Control Disregarded
LIVERY VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Backing Unsafely
UNKNOWN,MANHATTAN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
SMALL COM VEH(4 TIRES),QUEENS,PASSENGER VEHICLE,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,OTHER,Unspecified
UNKNOWN,QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,BROOKLYN,UNKNOWN,Unspecified
PASSENGER VEHICLE,MANHATTAN,TAXI,Other Vehicular
OTHER,QUEENS,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,QUEENS,LIVERY VEHICLE,Unspecified
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Turning Improperly
SPORT UTILITY / STATION WAGON,BRONX,PASSENGER VEHICLE,Lost Consciousness
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Unspecified
UNKNOWN,BROOKLYN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
UNKNOWN,MANHATTAN,SPORT UTILITY / STATION WAGON,Unspecified
BICYCLE,MANHATTAN,UNKNOWN,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,TAXI,Failure to Yield Right-of-Way
SPORT UTILITY / STATION WAGON,QUEENS,BUS,Unspecified
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Pavement Slippery
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Backing Unsafely
SMALL COM VEH(4 TIRES),MANHATTAN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Other Vehicular
SPORT UTILITY / STATION WAGON,BROOKLYN,LIVERY VEHICLE,Unspecified
SMALL COM VEH(4 TIRES),BROOKLYN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
LARGE COM VEH(6 OR MORE TIRES),MANHATTAN,PASSENGER VEHICLE,Driver Inexperience
PASSENGER VEHICLE,BRONX,OTHER,Unspecified
PASSENGER VEHICLE,QUEENS,TAXI,Unspecified
PASSENGER VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,BROOKLYN,PICK-UP TRUCK,Unspecified
SPORT UTILITY / STATION WAGON,QUEENS,PICK-UP TRUCK,Unspecified
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Turning Improperly
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Physical Disability
OTHER,BROOKLYN,SPORT UTILITY / STATION WAGON,Unspecified
UNKNOWN,BROOKLYN,UNKNOWN,Unspecified
PASSENGER VEHICLE,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Pavement Slippery
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Traffic Control Disregarded
VAN,MANHATTAN,PASSENGER VEHICLE,Unspecified
